id;datum;dan;imeDana;danSkraceno;danUSedmici;danUTromjesecu;danUGodini;sedmica;mjesec;imeMjeseca;kvartal;godina
20191207;12.7.2019;7;Subota;Sub;6;68;341;49;12;Decembar;4;2019
20191208;12.8.2019;8;Nedelja;Ned;7;69;342;49;12;Decembar;4;2019
20191209;12.9.2019;9;Ponedeljak;Pon;1;70;343;50;12;Decembar;4;2019
20191210;12.10.2019;10;Utorak;Uto;2;71;344;50;12;Decembar;4;2019
20191211;12.11.2019;11;Srijeda;Sri;3;72;345;50;12;Decembar;4;2019
20191212;12.12.2019;12;Cetvrtak;Cet;4;73;346;50;12;Decembar;4;2019
20191213;12.13.2019;13;Petak;Pet;5;74;347;50;12;Decembar;4;2019
20191214;12.14.2019;14;Subota;Sub;6;75;348;50;12;Decembar;4;2019
20191215;12.15.2019;15;Nedelja;Ned;7;76;349;50;12;Decembar;4;2019
20191216;12.16.2019;16;Ponedeljak;Pon;1;77;350;51;12;Decembar;4;2019
20191217;12.17.2019;17;Utorak;Uto;2;78;351;51;12;Decembar;4;2019
20191218;12.18.2019;18;Srijeda;Sri;3;79;352;51;12;Decembar;4;2019
20191219;12.19.2019;19;Cetvrtak;Cet;4;80;353;51;12;Decembar;4;2019
20191220;12.20.2019;20;Petak;Pet;5;81;354;51;12;Decembar;4;2019
20191221;12.21.2019;21;Subota;Sub;6;82;355;51;12;Decembar;4;2019
20191222;12.22.2019;22;Nedelja;Ned;7;83;356;51;12;Decembar;4;2019
20191223;12.23.2019;23;Ponedeljak;Pon;1;84;357;52;12;Decembar;4;2019
20191224;12.24.2019;24;Utorak;Uto;2;85;358;52;12;Decembar;4;2019
20191225;12.25.2019;25;Srijeda;Sri;3;86;359;52;12;Decembar;4;2019
20191226;12.26.2019;26;Cetvrtak;Cet;4;87;360;52;12;Decembar;4;2019
20191227;12.27.2019;27;Petak;Pet;5;88;361;52;12;Decembar;4;2019
20191228;12.28.2019;28;Subota;Sub;6;89;362;52;12;Decembar;4;2019
20191229;12.29.2019;29;Nedelja;Ned;7;90;363;52;12;Decembar;4;2019
20191230;12.30.2019;30;Ponedeljak;Pon;1;91;364;1;12;Decembar;4;2019
20191231;12.31.2019;31;Utorak;Uto;2;92;365;1;12;Decembar;4;2019
